SEASON,HOME_TEAM_GOAL,AWAY_TEAM_GOAL,LEAGUE_NAME,MATCH_API_ID
2008/2009,3,0,Belgium Jupiler League,492484
2008/2009,3,1,Belgium Jupiler League,492485
2008/2009,1,0,Belgium Jupiler League,492486
2008/2009,4,1,Belgium Jupiler League,492487
2008/2009,3,1,Belgium Jupiler League,492488
2008/2009,2,1,Belgium Jupiler League,492489
2008/2009,1,1,Belgium Jupiler League,492490
2008/2009,1,3,Belgium Jupiler League,492822
2008/2009,1,2,Belgium Jupiler League,492844
2008/2009,1,1,Belgium Jupiler League,492845
2008/2009,2,5,Belgium Jupiler League,492847
2008/2009,0,2,Belgium Jupiler League,492849
2008/2009,1,1,Belgium Jupiler League,492851
2008/2009,3,0,Belgium Jupiler League,492853
2008/2009,3,1,Belgium Jupiler League,492856
2008/2009,2,1,Belgium Jupiler League,492858
2008/2009,0,2,Belgium Jupiler League,492989
2008/2009,0,2,Belgium Jupiler League,492990
2008/2009,3,2,Belgium Jupiler League,492991
2008/2009,1,2,Belgium Jupiler League,492992
2008/2009,2,2,Belgium Jupiler League,492993
2008/2009,1,0,Belgium Jupiler League,492994
2008/2009,1,5,Belgium Jupiler League,492995
2008/2009,2,0,Belgium Jupiler League,492996
2008/2009,2,2,Belgium Jupiler League,492997
2008/2009,0,1,Belgium Jupiler League,492998
2008/2009,0,2,Belgium Jupiler League,492999
2008/2009,1,1,Belgium Jupiler League,493000
2008/2009,3,3,Belgium Jupiler League,493001
2008/2009,1,0,Belgium Jupiler League,493002
2008/2009,2,1,Belgium Jupiler League,493003
2008/2009,1,1,Belgium Jupiler League,493004
2008/2009,4,0,Belgium Jupiler League,493005
2008/2009,0,0,Belgium Jupiler League,493006
2008/2009,1,1,Belgium Jupiler League,493007
2008/2009,4,2,Belgium Jupiler League,493008
2008/2009,3,2,Belgium Jupiler League,493009
2008/2009,0,6,Belgium Jupiler League,493010
2008/2009,1,1,Belgium Jupiler League,493011
2008/2009,0,0,Belgium Jupiler League,493012
2008/2009,1,2,Belgium Jupiler League,493013
2008/2009,1,1,Belgium Jupiler League,493014
2008/2009,1,3,Belgium Jupiler League,493015
2008/2009,1,1,Belgium Jupiler League,493016
2008/2009,2,1,Belgium Jupiler League,493017
2008/2009,3,0,Belgium Jupiler League,493018
2008/2009,4,0,Belgium Jupiler League,493019
2008/2009,0,1,Belgium Jupiler League,493020
2008/2009,2,1,Belgium Jupiler League,493021
2008/2009,3,0,Belgium Jupiler League,493022
2008/2009,4,0,Belgium Jupiler League,493023
2008/2009,1,1,Belgium Jupiler League,493024
2008/2009,1,3,Belgium Jupiler League,493025
2008/2009,0,1,Belgium Jupiler League,493026
2008/2009,2,0,Belgium Jupiler League,493027
2008/2009,2,3,Belgium Jupiler League,493028
2008/2009,4,3,Belgium Jupiler League,493029
2008/2009,0,1,Belgium Jupiler League,493030
2008/2009,2,0,Belgium Jupiler League,493031
2008/2009,2,0,Belgium Jupiler League,493032
2008/2009,0,0,Belgium Jupiler League,493033
2008/2009,2,1,Belgium Jupiler League,493034
2008/2009,2,0,Belgium Jupiler League,493035
2008/2009,2,0,Belgium Jupiler League,493036
2008/2009,0,0,Belgium Jupiler League,493037
2008/2009,1,0,Belgium Jupiler League,493038
2008/2009,1,4,Belgium Jupiler League,493039
2008/2009,0,0,Belgium Jupiler League,493040
2008/2009,1,0,Belgium Jupiler League,493041
2008/2009,1,2,Belgium Jupiler League,493042
2008/2009,2,3,Belgium Jupiler League,493043
2008/2009,1,0,Belgium Jupiler League,493044
2008/2009,1,0,Belgium Jupiler League,493045
2008/2009,0,2,Belgium Jupiler League,493046
2008/2009,3,1,Belgium Jupiler League,493047
2008/2009,1,0,Belgium Jupiler League,493048
2008/2009,0,1,Belgium Jupiler League,493049
2008/2009,3,0,Belgium Jupiler League,493050
2008/2009,2,0,Belgium Jupiler League,493051
2008/2009,0,0,Belgium Jupiler League,493052
2008/2009,3,2,Belgium Jupiler League,493053
2008/2009,2,1,Belgium Jupiler League,493054
2008/2009,3,1,Belgium Jupiler League,493055
2008/2009,1,1,Belgium Jupiler League,493056
2008/2009,0,1,Belgium Jupiler League,493057
2008/2009,1,1,Belgium Jupiler League,493058
2008/2009,1,4,Belgium Jupiler League,493059
2008/2009,3,1,Belgium Jupiler League,493060
2008/2009,1,0,Belgium Jupiler League,493061
2008/2009,1,0,Belgium Jupiler League,493062
2008/2009,1,2,Belgium Jupiler League,493063
2008/2009,1,0,Belgium Jupiler League,493064
2008/2009,1,2,Belgium Jupiler League,493065
2008/2009,0,1,Belgium Jupiler League,493066
2008/2009,1,0,Belgium Jupiler League,493067
2008/2009,4,1,Belgium Jupiler League,493068
2008/2009,2,0,Belgium Jupiler League,493069
2008/2009,4,0,Belgium Jupiler League,492491
2008/2009,1,0,Belgium Jupiler League,492492
2008/2009,2,1,Belgium Jupiler League,492493
2008/2009,2,0,Belgium Jupiler League,492494
2008/2009,1,2,Belgium Jupiler League,492495
2008/2009,0,2,Belgium Jupiler League,492496
2008/2009,1,1,Belgium Jupiler League,492497
2008/2009,1,4,Belgium Jupiler League,492498
2008/2009,1,0,Belgium Jupiler League,492499
2008/2009,0,1,Belgium Jupiler League,493070
2008/2009,0,3,Belgium Jupiler League,493071
2008/2009,3,2,Belgium Jupiler League,493072
2008/2009,3,1,Belgium Jupiler League,493073
2008/2009,0,1,Belgium Jupiler League,493074
2008/2009,2,2,Belgium Jupiler League,493075
2008/2009,3,1,Belgium Jupiler League,493076
2008/2009,5,1,Belgium Jupiler League,493077
2008/2009,1,0,Belgium Jupiler League,493078
2008/2009,2,0,Belgium Jupiler League,493079
2008/2009,1,2,Belgium Jupiler League,493080
2008/2009,1,0,Belgium Jupiler League,493081
2008/2009,1,3,Belgium Jupiler League,493082
2008/2009,4,0,Belgium Jupiler League,493083
2008/2009,4,1,Belgium Jupiler League,493084
2008/2009,3,0,Belgium Jupiler League,493085
2008/2009,2,2,Belgium Jupiler League,493086
2008/2009,0,2,Belgium Jupiler League,493087
2008/2009,1,1,Belgium Jupiler League,493088
2008/2009,0,0,Belgium Jupiler League,493089
2008/2009,0,0,Belgium Jupiler League,493090
2008/2009,2,1,Belgium Jupiler League,493091
2008/2009,2,1,Belgium Jupiler League,493092
2008/2009,2,3,Belgium Jupiler League,493093
2008/2009,1,0,Belgium Jupiler League,493094
2008/2009,0,1,Belgium Jupiler League,493095
2008/2009,3,1,Belgium Jupiler League,493096
2008/2009,2,0,Belgium Jupiler League,493097
2008/2009,3,0,Belgium Jupiler League,493098
2008/2009,0,2,Belgium Jupiler League,493099
2008/2009,0,2,Belgium Jupiler League,493100
2008/2009,0,2,Belgium Jupiler League,493101
2008/2009,3,1,Belgium Jupiler League,493102
2008/2009,3,1,Belgium Jupiler League,493103
2008/2009,1,1,Belgium Jupiler League,493104
2008/2009,2,1,Belgium Jupiler League,493105
2008/2009,0,2,Belgium Jupiler League,493106
2008/2009,0,1,Belgium Jupiler League,493107
2008/2009,3,0,Belgium Jupiler League,493108
2008/2009,1,2,Belgium Jupiler League,493109
2008/2009,1,2,Belgium Jupiler League,493110
2008/2009,3,0,Belgium Jupiler League,493111
2008/2009,4,1,Belgium Jupiler League,493112
2008/2009,1,3,Belgium Jupiler League,493113
2008/2009,1,0,Belgium Jupiler League,493114
2008/2009,1,1,Belgium Jupiler League,492500
2008/2009,2,0,Belgium Jupiler League,492501
2008/2009,1,2,Belgium Jupiler League,492502
2008/2009,1,3,Belgium Jupiler League,492503
2008/2009,3,2,Belgium Jupiler League,492504
2008/2009,1,1,Belgium Jupiler League,492506
2008/2009,0,0,Belgium Jupiler League,492508
2008/2009,4,2,Belgium Jupiler League,492509
2008/2009,3,0,Belgium Jupiler League,492511
2008/2009,2,0,Belgium Jupiler League,492517
2008/2009,0,1,Belgium Jupiler League,492518
2008/2009,1,0,Belgium Jupiler League,492519
2008/2009,1,2,Belgium Jupiler League,492520
2008/2009,2,0,Belgium Jupiler League,492521
2008/2009,0,1,Belgium Jupiler League,492522
2008/2009,1,0,Belgium Jupiler League,492523
2008/2009,0,1,Belgium Jupiler League,492524
2008/2009,0,0,Belgium Jupiler League,492525
2008/2009,2,0,Belgium Jupiler League,492526
2008/2009,2,1,Belgium Jupiler League,492527
2008/2009,2,0,Belgium Jupiler League,492528
2008/2009,1,0,Belgium Jupiler League,492529
2008/2009,1,2,Belgium Jupiler League,492530
2008/2009,1,1,Belgium Jupiler League,492531
2008/2009,4,1,Belgium Jupiler League,492532
2008/2009,1,2,Belgium Jupiler League,492534
2008/2009,2,2,Belgium Jupiler League,492535
2008/2009,2,1,Belgium Jupiler League,492536
2008/2009,2,1,Belgium Jupiler League,492537
2008/2009,1,1,Belgium Jupiler League,492538
2008/2009,4,1,Belgium Jupiler League,492539
2008/2009,1,1,Belgium Jupiler League,492540
2008/2009,0,1,Belgium Jupiler League,492541
2008/2009,0,0,Belgium Jupiler League,492542
2008/2009,2,1,Belgium Jupiler League,492543
2008/2009,3,2,Belgium Jupiler League,492544
2008/2009,3,1,Belgium Jupiler League,492545
2008/2009,2,1,Belgium Jupiler League,492546
2008/2009,4,0,Belgium Jupiler League,492547
2008/2009,2,0,Belgium Jupiler League,492548
2008/2009,2,4,Belgium Jupiler League,492549
2008/2009,1,3,Belgium Jupiler League,492550
2008/2009,2,0,Belgium Jupiler League,492551
2008/2009,0,1,Belgium Jupiler League,492552
2008/2009,1,2,Belgium Jupiler League,492553
2008/2009,7,1,Belgium Jupiler League,492554
2008/2009,0,0,Belgium Jupiler League,492555
2008/2009,0,0,Belgium Jupiler League,492556
2008/2009,1,1,Belgium Jupiler League,492557
2008/2009,1,2,Belgium Jupiler League,492558
2008/2009,3,0,Belgium Jupiler League,492559
2008/2009,0,3,Belgium Jupiler League,492561
2008/2009,2,2,Belgium Jupiler League,492562
2008/2009,4,1,Belgium Jupiler League,492563
2009/2010,2,2,Belgium Jupiler League,665318
2009/2010,1,2,Belgium Jupiler League,665320
2009/2010,1,3,Belgium Jupiler League,665321
2009/2010,1,1,Belgium Jupiler League,665322
2009/2010,0,2,Belgium Jupiler League,665323
2009/2010,4,1,Belgium Jupiler League,665324
2009/2010,1,1,Belgium Jupiler League,665325
2009/2010,4,2,Belgium Jupiler League,665411
2009/2010,1,0,Belgium Jupiler League,665412
2009/2010,1,2,Belgium Jupiler League,665413
2009/2010,3,3,Belgium Jupiler League,665414
2009/2010,2,0,Belgium Jupiler League,665417
2009/2010,3,2,Belgium Jupiler League,665420
2009/2010,3,1,Belgium Jupiler League,665421
2009/2010,1,0,Belgium Jupiler League,665425
2009/2010,2,0,Belgium Jupiler League,665426
2009/2010,1,2,Belgium Jupiler League,665427
2009/2010,4,0,Belgium Jupiler League,665429
2009/2010,1,1,Belgium Jupiler League,665430
2009/2010,2,0,Belgium Jupiler League,665432
2009/2010,2,0,Belgium Jupiler League,665435
2009/2010,1,1,Belgium Jupiler League,665438
2009/2010,1,2,Belgium Jupiler League,665440
2009/2010,1,1,Belgium Jupiler League,665442
2009/2010,1,1,Belgium Jupiler League,665443
2009/2010,0,2,Belgium Jupiler League,665444
2009/2010,0,2,Belgium Jupiler League,665445
2009/2010,2,3,Belgium Jupiler League,665446
2009/2010,1,0,Belgium Jupiler League,665535
2009/2010,2,0,Belgium Jupiler League,665536
2009/2010,2,0,Belgium Jupiler League,665537
2009/2010,2,2,Belgium Jupiler League,665539
2009/2010,0,1,Belgium Jupiler League,665541
2009/2010,2,0,Belgium Jupiler League,665543
2009/2010,2,2,Belgium Jupiler League,665545
2009/2010,3,1,Belgium Jupiler League,665548
2009/2010,0,2,Belgium Jupiler League,665551
2009/2010,0,2,Belgium Jupiler League,665553
2009/2010,2,1,Belgium Jupiler League,665554
2009/2010,0,0,Belgium Jupiler League,665556
2009/2010,2,0,Belgium Jupiler League,665559
2009/2010,4,1,Belgium Jupiler League,665561
2009/2010,1,2,Belgium Jupiler League,665568
2009/2010,3,1,Belgium Jupiler League,665570
2009/2010,1,1,Belgium Jupiler League,665571
2009/2010,4,1,Belgium Jupiler League,665574
2009/2010,2,1,Belgium Jupiler League,665575
2009/2010,2,1,Belgium Jupiler League,665577
2009/2010,1,0,Belgium Jupiler League,665581
2009/2010,1,0,Belgium Jupiler League,665585
2009/2010,1,0,Belgium Jupiler League,665586
2009/2010,2,0,Belgium Jupiler League,665588
2009/2010,1,0,Belgium Jupiler League,665590
2009/2010,3,1,Belgium Jupiler League,665591
2009/2010,2,0,Belgium Jupiler League,665595
2009/2010,3,0,Belgium Jupiler League,665596
2009/2010,2,2,Belgium Jupiler League,665598
2009/2010,0,0,Belgium Jupiler League,665599
2009/2010,0,0,Belgium Jupiler League,665601
2009/2010,1,3,Belgium Jupiler League,665603
2009/2010,0,1,Belgium Jupiler League,665604
2009/2010,1,0,Belgium Jupiler League,665606
2009/2010,2,5,Belgium Jupiler League,665607
2009/2010,1,1,Belgium Jupiler League,665614
2009/2010,0,1,Belgium Jupiler League,665616
2009/2010,0,2,Belgium Jupiler League,665617
2009/2010,1,0,Belgium Jupiler League,665619
2009/2010,2,1,Belgium Jupiler League,665620
2009/2010,0,2,Belgium Jupiler League,665622
2009/2010,0,0,Belgium Jupiler League,665623
2009/2010,3,2,Belgium Jupiler League,665626
2009/2010,2,2,Belgium Jupiler League,665628
2009/2010,2,3,Belgium Jupiler League,665630
2009/2010,0,1,Belgium Jupiler League,665632
2009/2010,1,1,Belgium Jupiler League,665633
2009/2010,1,0,Belgium Jupiler League,665634
2009/2010,1,2,Belgium Jupiler League,665635
2009/2010,2,0,Belgium Jupiler League,665326
2009/2010,3,2,Belgium Jupiler League,665327
2009/2010,0,0,Belgium Jupiler League,665328
2009/2010,2,2,Belgium Jupiler League,665329
2009/2010,2,1,Belgium Jupiler League,665330
2009/2010,1,1,Belgium Jupiler League,665332
2009/2010,1,1,Belgium Jupiler League,665333
2009/2010,2,1,Belgium Jupiler League,665639
2009/2010,2,0,Belgium Jupiler League,665641
2009/2010,5,2,Belgium Jupiler League,665642
2009/2010,1,0,Belgium Jupiler League,665643
2009/2010,3,0,Belgium Jupiler League,665645
2009/2010,2,2,Belgium Jupiler League,665647
2009/2010,1,0,Belgium Jupiler League,665651
2009/2010,2,1,Belgium Jupiler League,665653
2009/2010,0,0,Belgium Jupiler League,665654
2009/2010,2,0,Belgium Jupiler League,665655
2009/2010,2,0,Belgium Jupiler League,665657
2009/2010,1,4,Belgium Jupiler League,665659
2009/2010,1,0,Belgium Jupiler League,665661
2009/2010,0,4,Belgium Jupiler League,665662
2009/2010,2,1,Belgium Jupiler League,665665
2009/2010,0,4,Belgium Jupiler League,665666
2009/2010,2,1,Belgium Jupiler League,665667
2009/2010,1,3,Belgium Jupiler League,665668
2009/2010,2,2,Belgium Jupiler League,665669
2009/2010,1,2,Belgium Jupiler League,665671
2009/2010,1,4,Belgium Jupiler League,665672
2009/2010,2,0,Belgium Jupiler League,665674
2009/2010,2,0,Belgium Jupiler League,665675
2009/2010,1,0,Belgium Jupiler League,665677
2009/2010,1,4,Belgium Jupiler League,665679
2009/2010,3,0,Belgium Jupiler League,665680
2009/2010,0,0,Belgium Jupiler League,665681
2009/2010,0,0,Belgium Jupiler League,665682
2009/2010,3,1,Belgium Jupiler League,665686
2009/2010,0,1,Belgium Jupiler League,665687
2009/2010,4,1,Belgium Jupiler League,665688
2009/2010,0,2,Belgium Jupiler League,665689
2009/2010,1,2,Belgium Jupiler League,665692
2009/2010,1,1,Belgium Jupiler League,665694
2009/2010,0,5,Belgium Jupiler League,665695
2009/2010,1,2,Belgium Jupiler League,665698
2009/2010,1,0,Belgium Jupiler League,665699
2009/2010,1,1,Belgium Jupiler League,665700
2009/2010,2,0,Belgium Jupiler League,665702
2009/2010,2,1,Belgium Jupiler League,665704
2009/2010,2,1,Belgium Jupiler League,665706
2009/2010,1,1,Belgium Jupiler League,665710
2009/2010,1,0,Belgium Jupiler League,665712
2009/2010,0,2,Belgium Jupiler League,665717
2009/2010,4,0,Belgium Jupiler League,665719
2009/2010,1,1,Belgium Jupiler League,665721
2009/2010,2,1,Belgium Jupiler League,665723
2009/2010,0,2,Belgium Jupiler League,665725
2009/2010,1,1,Belgium Jupiler League,665727
2009/2010,2,1,Belgium Jupiler League,665728
2009/2010,2,0,Belgium Jupiler League,665729
2009/2010,3,1,Belgium Jupiler League,665730
2009/2010,1,1,Belgium Jupiler League,665731
2009/2010,0,1,Belgium Jupiler League,665732
2009/2010,3,1,Belgium Jupiler League,665733
2009/2010,4,0,Belgium Jupiler League,665735
2009/2010,1,1,Belgium Jupiler League,665737
2009/2010,0,0,Belgium Jupiler League,665738
2009/2010,1,0,Belgium Jupiler League,665739
2009/2010,1,0,Belgium Jupiler League,665740
2009/2010,1,1,Belgium Jupiler League,665741
2009/2010,1,2,Belgium Jupiler League,665742
2009/2010,1,1,Belgium Jupiler League,665743
2009/2010,1,0,Belgium Jupiler League,665744
2009/2010,2,0,Belgium Jupiler League,665745
2009/2010,2,0,Belgium Jupiler League,665746
2009/2010,1,1,Belgium Jupiler League,665749
2009/2010,2,1,Belgium Jupiler League,665751
2009/2010,3,1,Belgium Jupiler League,665753
2009/2010,2,1,Belgium Jupiler League,665757
2009/2010,3,0,Belgium Jupiler League,665334
2009/2010,1,1,Belgium Jupiler League,665335
2009/2010,1,0,Belgium Jupiler League,665336
2009/2010,2,2,Belgium Jupiler League,665337
2009/2010,1,2,Belgium Jupiler League,665338
2009/2010,2,1,Belgium Jupiler League,665340
2009/2010,1,5,Belgium Jupiler League,665341
2009/2010,0,2,Belgium Jupiler League,665761
2009/2010,1,1,Belgium Jupiler League,665763
2009/2010,3,1,Belgium Jupiler League,665767
2009/2010,0,4,Belgium Jupiler League,665769
2009/2010,2,1,Belgium Jupiler League,665771
2009/2010,0,0,Belgium Jupiler League,665774
2009/2010,1,4,Belgium Jupiler League,665775
2009/2010,2,2,Belgium Jupiler League,665342
2009/2010,1,1,Belgium Jupiler League,665343
2009/2010,2,1,Belgium Jupiler League,665344
2009/2010,0,2,Belgium Jupiler League,665345
2009/2010,4,1,Belgium Jupiler League,665346
2009/2010,0,1,Belgium Jupiler League,665348
2009/2010,1,3,Belgium Jupiler League,665349
2009/2010,1,1,Belgium Jupiler League,665352
2009/2010,1,1,Belgium Jupiler League,665353
2009/2010,2,3,Belgium Jupiler League,665354
2009/2010,1,0,Belgium Jupiler League,665357
2009/2010,0,2,Belgium Jupiler League,665358
2009/2010,1,3,Belgium Jupiler League,665359
2009/2010,1,2,Belgium Jupiler League,665360
2009/2010,1,1,Belgium Jupiler League,665361
2009/2010,3,0,Belgium Jupiler League,665362
2009/2010,2,1,Belgium Jupiler League,665363
2009/2010,0,2,Belgium Jupiler League,665364
2009/2010,0,4,Belgium Jupiler League,665365
2009/2010,5,1,Belgium Jupiler League,665366
2009/2010,2,1,Belgium Jupiler League,665368
2009/2010,1,1,Belgium Jupiler League,665370
2009/2010,1,2,Belgium Jupiler League,665371
2009/2010,1,2,Belgium Jupiler League,665374
2009/2010,1,3,Belgium Jupiler League,665376
2009/2010,0,1,Belgium Jupiler League,665378
2009/2010,3,2,Belgium Jupiler League,665379
2009/2010,1,4,Belgium Jupiler League,665380
2009/2010,3,1,Belgium Jupiler League,665384
2009/2010,1,1,Belgium Jupiler League,665385
2009/2010,2,4,Belgium Jupiler League,665386
2009/2010,1,2,Belgium Jupiler League,665387
2009/2010,1,2,Belgium Jupiler League,665389
2009/2010,1,2,Belgium Jupiler League,665392
2009/2010,1,0,Belgium Jupiler League,665393
2009/2010,1,0,Belgium Jupiler League,665396
2009/2010,1,1,Belgium Jupiler League,665397
2009/2010,3,1,Belgium Jupiler League,665399
2009/2010,1,0,Belgium Jupiler League,665402
2009/2010,4,1,Belgium Jupiler League,665403
2009/2010,0,2,Belgium Jupiler League,665405
2009/2010,2,0,Belgium Jupiler League,665409
2010/2011,1,0,Belgium Jupiler League,838467
2010/2011,1,0,Belgium Jupiler League,838468
2010/2011,2,0,Belgium Jupiler League,838469
2010/2011,0,1,Belgium Jupiler League,838472
2010/2011,4,1,Belgium Jupiler League,838473
2010/2011,1,1,Belgium Jupiler League,838474
2010/2011,1,1,Belgium Jupiler League,838475
2010/2011,2,1,Belgium Jupiler League,838476
2010/2011,3,2,Belgium Jupiler League,838581
2010/2011,5,1,Belgium Jupiler League,838582
2010/2011,1,2,Belgium Jupiler League,838583
2010/2011,1,1,Belgium Jupiler League,838584
2010/2011,1,0,Belgium Jupiler League,838585
2010/2011,3,1,Belgium Jupiler League,838586
2010/2011,2,2,Belgium Jupiler League,838587
2010/2011,0,1,Belgium Jupiler League,838588
2010/2011,2,0,Belgium Jupiler League,838590
2010/2011,4,2,Belgium Jupiler League,838591
2010/2011,1,1,Belgium Jupiler League,838593
2010/2011,2,3,Belgium Jupiler League,838594
2010/2011,1,2,Belgium Jupiler League,838595
2010/2011,6,0,Belgium Jupiler League,838596
2010/2011,1,1,Belgium Jupiler League,838597
2010/2011,1,0,Belgium Jupiler League,838598
2010/2011,2,0,Belgium Jupiler League,838599
2010/2011,2,1,Belgium Jupiler League,838600
2010/2011,3,2,Belgium Jupiler League,838602
2010/2011,1,0,Belgium Jupiler League,838603
2010/2011,1,0,Belgium Jupiler League,838604
2010/2011,5,1,Belgium Jupiler League,838605
2010/2011,0,0,Belgium Jupiler League,838606
2010/2011,2,1,Belgium Jupiler League,838607
2010/2011,2,2,Belgium Jupiler League,838621
2010/2011,3,1,Belgium Jupiler League,838622
2010/2011,1,2,Belgium Jupiler League,838623
2010/2011,0,0,Belgium Jupiler League,838624
2010/2011,1,1,Belgium Jupiler League,838625
2010/2011,0,0,Belgium Jupiler League,838628
2010/2011,2,2,Belgium Jupiler League,838630
2010/2011,2,1,Belgium Jupiler League,838632
2010/2011,2,2,Belgium Jupiler League,838635
2010/2011,1,3,Belgium Jupiler League,838636
2010/2011,0,3,Belgium Jupiler League,838639
2010/2011,4,0,Belgium Jupiler League,838640
2010/2011,2,0,Belgium Jupiler League,838641
2010/2011,2,2,Belgium Jupiler League,838642
2010/2011,1,1,Belgium Jupiler League,838644
2010/2011,0,1,Belgium Jupiler League,838646
2010/2011,2,0,Belgium Jupiler League,838651
2010/2011,1,2,Belgium Jupiler League,838652
2010/2011,3,0,Belgium Jupiler League,838654
2010/2011,0,1,Belgium Jupiler League,838656
2010/2011,1,1,Belgium Jupiler League,838657
2010/2011,0,1,Belgium Jupiler League,838658
2010/2011,3,0,Belgium Jupiler League,838659
2010/2011,0,1,Belgium Jupiler League,838661
2010/2011,0,1,Belgium Jupiler League,838664
2010/2011,4,4,Belgium Jupiler League,838665
2010/2011,0,1,Belgium Jupiler League,838667
2010/2011,2,0,Belgium Jupiler League,838669
2010/2011,1,3,Belgium Jupiler League,838671
2010/2011,3,1,Belgium Jupiler League,838673
